simulation,sample_size,total_return,max_drawdown,sharpe_ratio,total_trades,win_rate,profit_factor,expectancy,net_profit,largest_win,largest_loss,avg_trade_duration
1,7000,-0.0011115357522163323,-0.0011902877862330229,-0.6126696899566634,379,0.39313984168865435,0.6195796212192431,-0.029379317497452803,-11.134761331534612,0.7392087850916925,-0.6460419534186982,14.200527704444445
2,7000,-0.0009829440153118411,-0.0011603658837959494,-0.5770136973363387,385,0.37142857142857144,0.6498064072840066,-0.025559772783954764,-9.840512521822582,0.4512986070097387,-0.6252253266451505,13.085714285555555
3,7000,-0.000979151594026007,-0.0011918409403953775,-0.5835248211511537,381,0.35958005249343833,0.6506981041817377,-0.0257281361369726,-9.802419868186561,0.5390040652990729,-0.5189199882103748,14.002624671666666
4,7000,-0.0010920141432356103,-0.0012237709557962246,-0.646224424489719,360,0.37777777777777777,0.6027678123391067,-0.03036336741621643,-10.930812269837915,0.5405855345671531,-0.36386501075080774,15.747222222222222
5,7000,-0.0009552603555242967,-0.0011323072088164005,-0.5443791226539287,382,0.39790575916230364,0.6661120632397294,-0.02503430000782944,-9.563102602990845,0.4999595740878118,-0.5162467834069916,14.581151832222222
6,7000,-0.0010890366526824437,-0.001199071913749471,-0.626652109526827,396,0.3611111111111111,0.6269220806903287,-0.02752907864077553,-10.901515141747112,0.8592405028583419,-0.311372188011444,13.984848484722223
7,7000,-0.0006845994280998639,-0.0008832939854059078,-0.4063564820578521,363,0.418732782369146,0.7307136418555982,-0.01888665437182211,-6.855855536971426,0.6806219599421198,-0.6367730590749758,14.490358126666665
8,7000,-0.0008511686557763823,-0.001004651411089076,-0.4690789445708278,366,0.4098360655737705,0.6885312668003986,-0.02328607470674643,-8.522703342669196,0.6344601473722283,-0.8146236780522694,15.439890710277778
9,7000,-0.0012017993466852204,-0.001348122933529004,-0.6646901987916239,382,0.3743455497382199,0.5971299805948584,-0.03148883823778584,-12.02873620683419,0.361258559764112,-0.914857622497773,14.180628272222222
10,7000,-0.0011744067333849671,-0.0013039972611178711,-0.6517090921877708,382,0.3743455497382199,0.5990785759907029,-0.03077100037116163,-11.754522141783738,0.41320456991098675,-1.272527710754638,13.20942408361111
