total_return,net_profit,gross_profit,gross_loss,total_trades,winning_trades,losing_trades,win_rate,profit_factor,expectancy,max_drawdown,sharpe_ratio,avg_win,avg_loss,largest_win,largest_loss,avg_trade_duration,total_costs,avg_cost_per_trade,max_consecutive_wins,max_consecutive_losses,initial_capital,final_capital,equity_curve,trades_detail,param_fast_ma_period,param_slow_ma_period,param_rsi_period,param_rsi_oversold,param_rsi_overbought,param_take_profit_pct,param_stop_loss_pct,param_volume_threshold,param_min_score
-0.7761414275184657,-7761.414275184654,8710.284266684166,16471.69854186882,379,157,222,0.41424802110817943,0.5288030402295067,-20.478665633732604,-0.7825729021085936,-1.1255715193798246,55.47951762219214,-74.19684027868838,253.09475710345512,-259.6782238854605,0 days 05:12:30.395778364,5991.314598474419,15.808217937927227,7,7,10000,2238.585724815343,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
374       374  ...   False
375       375  ...   False
376       376  ...    True
377       377  ...    True
378       378  ...   False

[379 rows x 15 columns]",7,12,7,20,75,0.01,0.007,1.4,75
-0.724493209466785,-7244.932094667853,12252.173814404265,19497.105909072117,328,133,195,0.4054878048780488,0.6284098712672662,-22.088207605694663,-0.7288889276004146,-0.7472391435329733,92.12160762709973,-99.98515850806214,298.4003510575713,-320.0283552686287,0 days 08:43:21.219512195,5831.510294506313,17.778994800324124,8,9,10000,2755.06790533215,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
323       323  ...   False
324       324  ...   False
325       325  ...    True
326       326  ...    True
327       327  ...   False

[328 rows x 15 columns]",5,18,10,25,80,0.015,0.01,1.2,70
-0.6992740680514926,-6992.740680514929,10688.105756032004,17680.846436546934,321,115,206,0.3582554517133956,0.6045019278002048,-21.784238880108823,-0.7079139479921142,-0.8354925143603702,92.94005005245221,-85.82935163372298,300.0870810646072,-269.0357622737487,0 days 06:37:34.205607476,5875.751835721061,18.304522852713585,4,10,10000,3007.2593194850733,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
316       316  ...   False
317       317  ...   False
318       318  ...    True
319       319  ...    True
320       320  ...   False

[321 rows x 15 columns]",9,18,7,25,75,0.015,0.007,1.3,75
-0.8364502144454886,-8364.502144454882,8856.38947365722,17220.891618112102,443,179,264,0.4040632054176072,0.514281703297087,-18.881494682742396,-0.8403135260358416,-1.1635625405465884,49.4770361656828,-65.23065006860645,215.1195994947511,-240.0433819714432,0 days 05:23:09.616252821,6035.820269474782,13.624876454796349,8,10,10000,1635.4978555451137,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
438       438  ...   False
439       439  ...   False
440       440  ...    True
441       441  ...    True
442       442  ...   False

[443 rows x 15 columns]",7,18,7,25,80,0.01,0.007,1.2,70
-0.8257176540573783,-8257.176540573775,8506.143485683697,16763.320026257472,430,171,259,0.39767441860465114,0.5074259438082656,-19.20273614086924,-0.8307247997164096,-1.15684524610412,49.743529156045014,-64.72324334462344,215.20503475689762,-316.22333117149446,0 days 05:21:12.558139534,5836.021058434192,13.572141996358587,7,8,10000,1742.8234594262176,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
425       425  ...   False
426       426  ...   False
427       427  ...    True
428       428  ...    True
429       429  ...   False

[430 rows x 15 columns]",9,12,7,20,75,0.01,0.007,1.3,70
-0.7022585528307763,-7022.585528307765,11083.043832039886,18105.62936034765,330,121,209,0.36666666666666664,0.6121324816420012,-21.280562206993224,-0.7092916894373297,-0.8138779997944294,91.59540357057757,-86.62980555190263,301.02374304170013,-264.56350824013884,0 days 06:47:16.363636363,6026.125453931043,18.260986224033463,5,10,10000,2977.414471692236,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
325       325  ...   False
326       326  ...   False
327       327  ...    True
328       328  ...    True
329       329  ...   False

[330 rows x 15 columns]",5,12,7,25,80,0.015,0.007,1.2,75
-0.829455075216669,-8294.55075216668,11303.841261052163,19598.392013218843,461,167,294,0.36225596529284165,0.5767739135653517,-17.992517900578488,-0.8295956773000766,-1.0090755482046874,67.68767222186924,-66.66119732387362,216.53774774168713,-326.1232031491321,0 days 06:11:03.774403470,6367.207712787579,13.811730396502341,6,7,10000,1705.4492478333102,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
456       456  ...    True
457       457  ...   False
458       458  ...    True
459       459  ...   False
460       460  ...   False

[461 rows x 15 columns]",5,12,10,20,75,0.015,0.007,1.2,65
-0.7515947135697801,-7515.947135697814,11185.979655716597,18701.92679141441,327,131,196,0.40061162079510704,0.5981191018698566,-22.984547815589643,-0.7555580264882658,-0.8166231835895632,85.38915767722594,-95.41799383374699,272.91469418593016,-347.8810847739097,0 days 08:27:42.385321100,5445.501836863675,16.652910816096863,7,9,10000,2484.0528643021985,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
322       322  ...   False
323       323  ...   False
324       324  ...    True
325       325  ...    True
326       326  ...   False

[327 rows x 15 columns]",7,12,7,20,80,0.015,0.01,1.3,70
-0.6816055136595469,-6816.055136595471,12418.947041156785,19235.002177752256,319,133,186,0.4169278996865204,0.6456431315365739,-21.36694400186667,-0.6866855061147081,-0.6794140115816112,93.37554166283297,-103.41399020296912,314.8632434957713,-317.0096521546416,0 days 08:35:32.915360501,5864.53569238146,18.384124427528086,12,9,10000,3183.9448634045316,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
314       314  ...   False
315       315  ...   False
316       316  ...    True
317       317  ...    True
318       318  ...   False

[319 rows x 15 columns]",9,12,10,25,75,0.015,0.01,1.3,70
-0.6992740680514926,-6992.740680514929,10688.105756032004,17680.846436546934,321,115,206,0.3582554517133956,0.6045019278002048,-21.784238880108823,-0.7079139479921142,-0.8354925143603702,92.94005005245221,-85.82935163372298,300.0870810646072,-269.0357622737487,0 days 06:37:34.205607476,5875.751835721061,18.304522852713585,4,10,10000,3007.2593194850733,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
316       316  ...   False
317       317  ...   False
318       318  ...    True
319       319  ...    True
320       320  ...   False

[321 rows x 15 columns]",7,18,7,25,75,0.015,0.007,1.3,75
