total_return,net_profit,gross_profit,gross_loss,total_trades,winning_trades,losing_trades,win_rate,profit_factor,expectancy,max_drawdown,sharpe_ratio,avg_win,avg_loss,largest_win,largest_loss,avg_trade_duration,total_costs,avg_cost_per_trade,max_consecutive_wins,max_consecutive_losses,initial_capital,final_capital,equity_curve,trades_detail,param_fast_ma_period,param_slow_ma_period,param_rsi_period,param_rsi_oversold,param_rsi_overbought,param_take_profit_pct,param_stop_loss_pct,param_volume_threshold,param_min_score
-0.8839017947867606,-8839.017947867607,9565.850662747442,18404.86861061505,535,220,315,0.411214953271028,0.5197456643200548,-16.52152887451889,-0.8839975094470097,-1.341797990487349,43.48113937612474,-58.428154319412855,205.20724905989974,-317.0033845160177,0 days 05:02:54.953271028,6556.169629839471,12.254522672597142,9,9,10000,1160.9820521323938,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
530       530  ...    True
531       531  ...   False
532       532  ...    True
533       533  ...   False
534       534  ...   False

[535 rows x 15 columns]",9,15,10,25,80,0.01,0.007,1.3,65
-0.8361311508316752,-8361.31150831675,11241.457400179497,19602.768908496248,462,164,298,0.354978354978355,0.573462731344408,-18.098076857828463,-0.836266248968591,-1.0226424583825735,68.545471952314,-65.78110371978606,208.06687333300238,-326.89510056144894,0 days 06:15:42.857142857,6321.265871226919,13.682393660664328,6,7,10000,1638.6884916832473,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
457       457  ...    True
458       458  ...   False
459       459  ...    True
460       460  ...   False
461       461  ...   False

[462 rows x 15 columns]",5,12,10,25,80,0.015,0.007,1.2,65
-0.8640929950855106,-8640.929950855101,9146.874882117674,17787.804832972775,500,207,293,0.414,0.5142216798535116,-17.28185990171021,-0.865569222753491,-1.273489654169797,44.18780136288731,-60.70923151185247,204.1352734695878,-316.9098317888613,0 days 05:06:07.200000,6306.649729792007,12.613299459584013,7,9,10000,1359.0700491448936,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
495       495  ...   False
496       496  ...    True
497       497  ...   False
498       498  ...    True
499       499  ...   False

[500 rows x 15 columns]",9,15,7,25,75,0.01,0.007,1.3,65
-0.7671324891100058,-7671.32489110005,10313.70236395404,17985.02725505409,370,129,241,0.34864864864864864,0.5734604800810473,-20.733310516486625,-0.7726331979662588,-0.8926278219239022,79.9511811159228,-74.62666910810826,239.90612210752136,-243.4726947162726,0 days 06:48:58.378378378,5754.07561219989,15.551555708648351,5,11,10000,2328.675108899943,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
365       365  ...   False
366       366  ...   False
367       367  ...    True
368       368  ...    True
369       369  ...   False

[370 rows x 15 columns]",7,18,7,25,80,0.015,0.007,1.3,70
-0.7993451242981089,-7993.451242981086,11548.332239790296,19541.78348277138,440,164,276,0.37272727272727274,0.590955899699311,-18.166934643138827,-0.801524646092535,-0.9293853357266455,70.41665999872131,-70.80356334337458,249.68694890175658,-325.5659785712451,0 days 06:11:10.909090909,6437.053236926045,14.629666447559194,4,7,10000,2006.5487570189107,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
435       435  ...   False
436       436  ...    True
437       437  ...   False
438       438  ...    True
439       439  ...   False

[440 rows x 15 columns]",9,12,7,25,75,0.015,0.007,1.2,65
-0.7933302343014479,-7933.302343014486,10021.721104027936,17955.023447042422,380,129,251,0.3394736842105263,0.558156948866515,-20.877111428985483,-0.7961643985624318,-0.9565442609667508,77.68776049634059,-71.53395795634431,234.63518600735742,-315.60226056622133,0 days 06:58:34.736842105,5702.572159460907,15.006768840686597,6,11,10000,2066.697656985521,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
375       375  ...   False
376       376  ...    True
377       377  ...    True
378       378  ...   False
379       379  ...   False

[380 rows x 15 columns]",7,18,10,20,80,0.015,0.007,1.3,70
-0.7560989714425252,-7560.989714425254,9894.493240892461,17455.482955317715,364,126,238,0.34615384615384615,0.5668415629759564,-20.771949764904544,-0.7631062673896253,-0.8832155178615758,78.52772413406716,-73.34236535847779,238.95060655656755,-320.07718222173696,0 days 06:42:11.868131868,5588.474314882951,15.352951414513601,4,10,10000,2439.0102855747473,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
359       359  ...   False
360       360  ...   False
361       361  ...    True
362       362  ...    True
363       363  ...   False

[364 rows x 15 columns]",7,12,7,20,75,0.015,0.007,1.3,70
-0.8786362183430553,-8786.36218343055,9234.703201670809,18021.06538510136,520,217,303,0.4173076923076923,0.5124393594013292,-16.896850352751052,-0.8799544769014381,-1.312835552232695,42.556235952400044,-59.4754633171662,205.10946509374662,-316.8523282138448,0 days 05:04:02.307692307,6387.842604330235,12.284312700635068,8,9,10000,1213.6378165694473,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
515       515  ...   False
516       516  ...    True
517       517  ...   False
518       518  ...    True
519       519  ...   False

[520 rows x 15 columns]",5,15,7,20,80,0.01,0.007,1.3,65
-0.8218450109767563,-8218.450109767562,8432.95951752828,16651.40962729584,427,170,257,0.3981264637002342,0.5064411786317803,-19.246955760579773,-0.8269634179794725,-1.1434440032200073,49.605644220754584,-64.79147714901106,213.56613537038996,-316.22333117149446,0 days 05:22:12.084309133,5779.460172129811,13.535035531919933,7,8,10000,1781.5498902324364,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
422       422  ...   False
423       423  ...   False
424       424  ...    True
425       425  ...    True
426       426  ...   False

[427 rows x 15 columns]",9,18,7,25,75,0.01,0.007,1.3,70
-0.8732309963342179,-8732.309963342173,9150.775524940695,17883.085488282868,517,216,301,0.41779497098646035,0.5117000380575462,-16.89034809157093,-0.8746079666439637,-1.290305017722069,42.36470150435507,-59.41224414711916,205.10946509374662,-316.8523282138448,0 days 05:04:24.603481624,6339.171948731751,12.261454446289655,8,9,10000,1267.6900366578218,"                     timestamp  ...  returns
0    2024-07-20 21:00:00-03:00  ...      NaN
1    2024-07-20 22:00:00-03:00  ...      0.0
2    2024-07-20 23:00:00-03:00  ...      0.0
3    2024-07-21 00:00:00-03:00  ...      0.0
4    2024-07-21 01:00:00-03:00  ...      0.0
...                        ...  ...      ...
6127 2025-04-02 04:00:00-03:00  ...      0.0
6128 2025-04-02 05:00:00-03:00  ...      0.0
6129 2025-04-02 06:00:00-03:00  ...      0.0
6130 2025-04-02 07:00:00-03:00  ...      0.0
6131 2025-04-02 08:00:00-03:00  ...      0.0

[6132 rows x 7 columns]","     trade_id  ...  is_win
0           0  ...   False
1           1  ...   False
2           2  ...   False
3           3  ...   False
4           4  ...   False
..        ...  ...     ...
512       512  ...   False
513       513  ...    True
514       514  ...   False
515       515  ...    True
516       516  ...   False

[517 rows x 15 columns]",5,12,7,25,80,0.01,0.007,1.3,65
